Vsd	Vg	Isd	Igs
0.1	-10.0	-3.22e-11	1.1e-13
0.1	-8.0	-2.93e-11	-4.2e-13
0.1	-6.0	-3.07e-11	-4e-14
0.1	-4.0	-3.25e-11	7e-14
0.1	-2.0	-3.15e-11	-4.5e-13
0.1	0.0	-2.76e-11	-4.8e-13
0.1	2.0	-2.74e-11	-4.5e-13
0.1	4.0	-2.71e-11	-5e-14
0.1	6.0	-3.23e-11	-6.9e-13
0.1	8.0	-1.96e-11	2.5e-13
0.1	10.0	-2.99e-11	-4.7e-13
0.1	10.0	-2.9e-11	-1.4e-13
0.1	8.0	-3.09e-11	-2.5e-13
0.1	6.0	-3.07e-11	-2.6e-13
0.1	4.0	-2.98e-11	-3.3e-13
0.1	2.0	-2.93e-11	-1.8e-13
0.1	0.0	-2.97e-11	-2.5e-13
0.1	-2.0	-2.89e-11	-2.1e-13
0.1	-4.0	-3.04e-11	-2.9e-13
0.1	-6.0	-2.95e-11	-2.2e-13
0.1	-8.0	-2.94e-11	-2.6e-13
0.1	-10.0	-3.1e-11	-2.5e-13